,CEG,CEbG,ADF,AbDF,BEG,BbEbG,ACF,AbCF,BDG,BbDG,ACE,AbCEb,BDF,BbDF
CEG,82.65713490813319,0.07284515821857998,0.5015911353463397,0.18013622125711806,0.25478513205060355,0.1917128759813299,2.889974838012748,0.21842040029275905,1.7180554099529464,0.7576285226465136,0.5642612600987229,0.15299182484424784,0.10796599866083477,2.3300574473699758
CEbG,0.12127133243622372,64.7210513837105,0.21856204022521014,0.030051017408765108,0.0,1.9358163619592,0.7007241436396823,0.8894995281325074,0.5475449847876476,1.3125889561020077,0.0007561436672967863,1.2770317229229893,0.19489548177078325,1.5429409252406965
ADF,1.1586573207572914,0.1946174087867372,31.555949641553397,0.013588989011882236,0.01214224272967863,0.2246313790376424,1.082590083041918,0.003043770079298788,0.22882615337177264,0.4823294033823313,0.4678367522454866,0.02784485868688195,0.02366616865967744,0.8058157746037098
AbDF,0.0,0.019865867103293668,0.03224653935725179,5.778095490720889,0.0,0.18669830585110028,0.1893174194008091,0.13983817524176625,0.014334568241866859,0.009719824522456105,0.006923076923076924,0.20664869579963016,0.003969455927272606,0.1319713989783662
BEG,0.5626283884183145,0.0021929824561403508,0.03750213035805014,0.0,26.779215022385554,0.005582232623481586,0.13699944681080595,0.028888511061288837,0.4536536959566807,0.002135992267571215,0.18208334641485105,0.0028320810240029548,0.0,0.003320883206522913
BbEbG,0.1554972387419555,1.0804203327454232,0.5732411280826883,0.33279764380147075,0.02902649806641354,217.51533655457982,1.6516654336877996,1.624481699745242,0.1006696445401984,1.4163002263862328,0.0063688583111572656,8.282024020088354,0.015471215998755975,5.94335291002758
ACF,3.106702464952852,0.7553813976597621,0.6602239255933388,0.0004716379338545586,0.15202694523095694,2.5687316753633067,137.74615715063857,0.1464132582933038,0.9771590897849096,1.1454781267032668,0.5447122116006279,0.4205873428207092,0.01351887785144037,4.538823284377803
AbCF,0.6435213049522189,1.414684820078835,0.09196978926081804,0.05524593030575817,0.001550387596899225,2.3194521933697168,0.22938786112208526,98.567357276465,0.033584422204418436,0.1451176767227783,0.007533756526204194,3.410666512973712,0.014629682080887491,0.492380320812299
BDG,1.5248180666152664,0.3193724400257701,0.3293839798448092,0.01092601859014088,0.5092132514210188,0.10639108793029588,1.009503348669255,0.07973333291416777,69.64992962959569,0.04313837086140837,0.500727183610608,0.21830220101395356,0.04107968300725212,0.21116025427699905
BbDG,0.5148552308427156,0.7511252213307977,0.6513935727628761,0.023716446548689325,0.0006091989034419737,0.7725252316816118,1.4757390501287238,0.14100918638478135,0.07096519123822523,49.179565858736346,0.16411072455322298,0.3165722049266998,0.009878916306266932,1.9357201136166524
ACE,0.6131367720492179,0.0,0.3755121384422668,0.0,0.3287210695771551,0.004126670431018257,0.7694082712195808,0.0004219409282700422,0.5568410372674523,0.11786070165590205,20.860732859742672,0.007861745689461044,0.001998042228930208,0.20016921458392092
AbCEb,0.08089478558712421,1.8094268576284809,0.03612465955471792,0.08289723224821109,0.00430113752775664,8.054714916605112,0.2231885849287721,1.9605094477758431,0.18186716615775853,0.4313562506684426,0.009437054542019315,265.41048790462537,0.006857372419996821,1.8764109562058453
BDF,0.0325999802467249,0.08391594854595939,0.047198338917856436,0.05126797434532173,0.010471204188481678,0.04106261989253355,0.021884535914731527,0.014147725888978425,0.07285790509057383,0.010841863612786098,0.0014150943396226414,0.013410449550985965,2.164617877583924,0.08078480070459843
BbDF,1.1695266010749426,1.3127153735417871,1.4215051774395908,0.1088592665572332,0.00995395096014622,5.386459222846604,4.591656210412133,1.0412855396666534,0.13369677817893613,1.183411043788026,0.3713088909437444,3.109538615953504,0.030852067797470926,171.92460808567756
